begintime,managedelement,eutrancellfdd,CSFB Preparation Success Rate,Inter- Frequency HO Out Success Rate,Intra- Frequency HO Out Success Rate,Downlink Traffic Volume,Uplink Traffic Volume,EUtran Cell Availability,ERAB_Drop_%,ERAB_Drop_Enb%,ERAB_Drop_MME%,S1 Signalling Establishment Success Rate,E-RAB Establishment Success Rate,Cell Downlink Average Throughput (mbit/s),Cell Uplink Average Throughput (mbit/s),RACH Success Rate,InterRat HO Out Success Rate (LTE to WCDMA),RAN Data Retainability,MCS,CQI,DL Data PDCP Packet Loss Rate,UL Data PDCP Packet Loss Rate,LATENCY,Data Calls to GSM/WCDMA Rate,VOLTE Retainability,VOLTE DL Data PDCP Packet Loss Rate,VOLTE UL Data PDCP Packet Loss Rate,VOLTE QCI1 E-RAB Establishment Success Rate,SRVCC SR-2G,SRVCC SR-3G,VOLTE Drop Rate,VOLTE Drop,Volte E-RAB Att,VOLTE Avg Users,Volte ERAB Att,EARLANG Traffic,VOLTE QCI5 E-RAB Establishment Success Rate,RE-EST SR (All QCI),RE-EST SR (QCI-1),RE-EST ATT (QCI-1),RE-EST ATT (All QCI),INTRA FREQ HO PREP#,INTER FREQ HO PREP#,INTRA FREQ HO PREP SR,INTER FREQ HO PREP SR,RRC REJECT#,DLPDCP Average User Throughput,ULPDCP Average User Throughput,PRB Utilization_DL,PRB Utilization_UL,UL_RSSI_WEIGHT_DBM_PUCCH,UL_RSSI_WEIGHT_DBM_PUSCH,BLER_UL,Maximum Connected User Number,Maximum DL Traffic Volume (kbit/s),Avg User,S1 based HO Success Rate,BLER_DL,Maximum UL Traffic Volume (kbit/s),RRC Setup Attempt,MIMO Transmission Rank 2 Rate,X2 based HO Success Rate,RRC Setup Success Rate Bin
2020-09-18,SILTEL,SILTE24L,100.0,100.0,100.0,490.9073486328125,23.6181640625,100.0,0.0,0.0,0.0,100.0,100.0,84443.33,22488.27,100.0,,0.0,18.67,11.545,0.0,0.0,1.106,1.0638,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,100.0,0,78350.57,7666.3,1.6817389092964115,5.082116699632665,-118.233228,-119.175058,0.037,4,78344,1.3008333333333333,,0.106,26644,90,87.242,100.0,1
2020-09-18,KUREHL,KUREH82L,,,100.0,0.375,0.1514892578125,100.0,0.0,0.0,0.0,100.0,100.0,22440.95,105723.41,100.0,,0.0,25.418,12.022,0.0,0.0,1.337,4.7619,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,,0,28269.76,,0.4642277777777778,4.614352222222222,-119.967864,-118.495899,0.066,3,349,1.3627777777777779,100.0,0.155,87,22,,,1
2020-09-18,INBASL,INBASGL81,,,,0.014404296875,0.003662109375,100.0,0.0,0.0,0.0,100.0,100.0,7718.68,13300.26,100.0,,0.0,17.669,11.455,0.0,0.0,3.931,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,,,0,23006.0,,0.5663622222222222,5.200916666666667,-118.269044,-118.416958,0.169,1,108,0.020555555555555556,,0.266,15,7,,,1
2020-09-18,SILOSL,SILOS31L,100.0,,100.0,214.7918701171875,21.619873046875,100.0,0.0,0.0,0.0,100.0,100.0,27745.0,8386.87,99.06542056074767,87.5,0.0,13.442,11.225,0.0,0.0,1.558,11.5385,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,,0,10606.36,506.65,4.911677309974569,6.9154032212489405,-116.139963,-119.096701,0.094,8,22493,2.321388888888889,,0.124,1348,308,66.594,100.0,0
2020-09-18,INBASL,INBASGL84,100.0,,100.0,0.0653076171875,0.0330810546875,100.0,0.0,0.0,0.0,100.0,100.0,6871.57,9740.65,100.0,,0.0,27.056,14.908,0.0,0.0,2.062,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,,0,,,0.2857013888888889,4.615881944444444,-111.997742,-115.44949,0.015,2,48,1.0455555555555556,,0.049,55,29,,,1
2020-09-18,ASELYL,ASELY52L,,,,62.9583740234375,0.84326171875,100.0,0.0,0.0,0.0,100.0,100.0,66388.13,14716.14,96.66666666666667,,0.0,27.198,14.988,0.0,0.0,1.619,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,,,0,74895.24,17300.5,0.5310125,4.623076944444445,-119.702783,-118.913815,0.004,2,17582,0.5161111111111111,,0.002,1210,87,,,1
2020-09-18,SILTEL,SILTE14L,,100.0,100.0,1153.0892333984375,37.7615966796875,100.0,0.201,0.201,0.0,100.0,100.0,85876.67,21196.0,100.0,,0.201,12.138,13.472,0.0,0.0,2.705,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,100.0,0,43756.64,10455.74,5.718359988697372,5.4601438259395305,-118.119805,-119.098045,0.03,6,69756,3.2647222222222223,100.0,0.121,2615,269,14.784,100.0,1
2020-09-18,ASELYL,ASELY12L,,,100.0,187.8095703125,4.411376953125,100.0,0.175,0.0,0.175,99.608,100.0,54718.21,14413.17,97.77777777777777,100.0,0.175,16.689,11.459,0.0,0.0,58.193,1.2285,,,,,,,,0,0,0.0,0,0.0,100.0,100.0,,0,1,0,0,100.0,,0,46201.14,1585.67,3.0171975,4.771535555555555,-119.814125,-118.597003,0.082,5,71700,1.9697222222222222,,0.146,1087,255,,,1
2020-09-18,INBASL,INBASGL74,100.0,,100.0,0.0340576171875,0.5555419921875,100.0,0.0,0.0,0.0,100.0,100.0,7470.73,46473.02,94.73684210526316,,0.0,25.542,14.857,0.0,0.0,2.061,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,,0,8524.0,28368.59,0.2838788888888889,4.606879722222223,-114.985651,-115.432664,0.092,1,47,0.06277777777777778,100.0,0.068,1715,16,,,1
2020-09-18,SILTEL,SILTE11L,100.0,,94.737,482.6583251953125,57.0919189453125,100.0,0.543,0.182,0.362,99.891,99.83,36065.24,11433.65,95.89442815249267,97.222,0.543,19.547,12.734,0.0,0.0,3.752,9.6573,100.0,0.0,0.0,100.0,,,0.0,0,1,0.0,1,0.004,100.0,50.0,,0,10,0,0,100.0,,0,16060.32,1872.32,6.56965526985024,8.091432608081378,-116.171505,-118.054551,0.056,13,33978,7.120555555555556,,0.128,8076,924,65.646,100.0,0
